Lat,Lon,Times_exceeded
52.273,20.968,3.0
52.28,21.046,3.0
52.161,21.1,3.0
52.248,21.02,3.0
52.295,20.932,3.0
52.188,20.966,3.0
52.292,21.062,3.0
52.229,20.912,3.0
52.233,21.128,3.0
52.169,21.072,3.0
52.261,20.994,3.0
52.198,20.921,3.0
52.244,21.092,3.0
52.186,20.97,3.0
52.23,21.138,3.0
52.297,21.055,3.0
52.292,21.06,3.0
52.23,21.224,3.0
52.225,21.182,3.0
52.259,21.045,3.0
52.094,21.131,3.0
52.256,21.141,3.0
52.204,21.075,3.0
52.233,21.124,3.0
52.223,20.99,3.0
52.35,21.127,3.0
52.272,21.016,3.0
52.315,21.008,3.0
52.254,21.14,3.0
52.177,21.075,3.0
52.24,21.259,3.0
52.237,21.046,3.0
52.204,21.078,3.0
52.169,21.011,3.0
52.194,21.002,3.0
52.212,20.87,3.0
52.205,21.08,3.0
52.184,20.977,3.0
52.234,21.101,3.0
52.267,21.032,3.0
52.243,21.17,3.0
52.226,21.067,3.0
52.215,20.964,3.0
52.26,21.007,3.0
52.128,21.018,3.0
52.117,20.892,3.0
52.255,20.898,3.0
52.176,20.913,3.0
52.151,21.062,3.0
52.284,21.073,3.0
52.229,20.91,3.0
52.265,20.947,3.0
52.15,21.092,3.0
52.152,21.064,3.0
52.217,21.006,3.0
52.166,21.018,3.0
52.192,20.894,3.0
52.207,21.062,3.0
52.305,20.988,3.0
52.226,21.163,3.0
52.299,20.993,3.0
52.238,20.896,3.0
52.264,20.948,3.0
52.279,21.069,3.0
52.208,21.055,3.0
52.202,21.061,3.0
52.236,21.085,3.0
52.26,21.006,3.0
52.166,20.933,3.0
52.215,21.046,3.0
52.261,21.05,3.0
52.185,21.065,3.0
52.25,21.023,3.0
52.415,21.038,3.0
52.156,21.046,3.0
52.209,20.868,3.0
52.141,21.018,3.0
52.239,21.042,3.0
52.296,20.996,3.0
52.331,20.936,3.0
52.225,21.19,3.0
52.227,21.146,3.0
52.21,21.087,3.0
52.249,21.145,3.0
52.294,20.932,3.0
52.233,21.13,3.0
52.225,21.175,3.0
52.302,20.905,3.0
52.161,21.018,3.0
52.138,21.018,3.0
52.228,21.246,3.0
52.168,21.043,3.0
52.315,21.099,3.0
52.295,21.054,3.0
52.24,20.939,3.0
52.163,21.018,3.0
52.118,21.018,3.0
