Lat,Lon,Times_exceeded
52.213,20.83,3.0
52.259,20.95,3.0
52.354,20.943,3.0
52.342,21.121,3.0
52.307,20.952,3.0
52.287,21.048,3.0
52.412,21.038,3.0
52.191,21.073,3.0
52.157,20.991,3.0
52.201,21.117,3.0
52.326,20.908,3.0
52.247,21.138,3.0
52.235,21.077,3.0
52.262,21.012,3.0
52.109,20.843,3.0
52.208,20.987,3.0
52.219,21.022,3.0
52.32,20.95,3.0
52.225,21.182,3.0
52.305,20.947,3.0
52.313,20.967,3.0
52.229,20.966,3.0
52.164,21.084,3.0
52.217,20.896,3.0
52.229,21.052,3.0
52.262,21.006,3.0
52.264,20.922,3.0
52.233,20.897,3.0
52.255,20.997,3.0
52.092,21.126,3.0
52.205,20.891,3.0
52.181,20.949,3.0
52.228,20.903,3.0
52.268,20.932,3.0
52.213,20.828,3.0
52.237,21.131,3.0
52.217,21.004,3.0
52.179,20.876,3.0
52.41,21.038,3.0
52.307,21.063,3.0
52.191,21.124,3.0
52.249,21.021,3.0
52.177,21.143,3.0
52.319,20.973,3.0
52.342,20.954,3.0
52.222,20.897,3.0
52.246,21.138,3.0
52.217,20.994,3.0
52.226,21.167,3.0
52.196,20.897,3.0
52.156,20.954,3.0
52.207,20.892,3.0
52.248,20.911,3.0
52.141,20.904,3.0
52.227,21.055,3.0
52.229,20.909,3.0
52.156,20.956,3.0
52.099,21.019,3.0
52.191,21.072,3.0
52.161,21.039,3.0
52.215,20.956,3.0
52.125,21.018,3.0
52.251,21.147,3.0
52.119,21.103,3.0
52.175,21.148,3.0
52.185,20.973,3.0
52.18,21.045,3.0
52.315,20.971,3.0
52.307,21.073,3.0
52.233,21.119,3.0
52.215,21.129,3.0
52.245,21.09,3.0
52.202,21.061,3.0
52.161,21.017,3.0
52.157,21.189,3.0
52.175,21.01,3.0
52.211,20.895,3.0
52.247,21.207,3.0
52.211,21.087,3.0
52.209,21.086,3.0
52.208,20.947,3.0
52.372,20.928,3.0
52.229,20.897,3.0
52.135,21.074,3.0
52.185,20.976,3.0
52.231,21.041,3.0
52.229,20.975,3.0
52.095,20.883,3.0
52.123,20.894,3.0
52.259,21.043,3.0
52.182,20.972,3.0
52.247,20.931,3.0
52.186,21.046,3.0
52.212,20.896,3.0
52.263,21.123,3.0
52.304,21.048,3.0
52.314,20.977,3.0
52.117,21.106,3.0
52.204,21.049,3.0
52.284,20.908,3.0
52.263,21.016,3.0
52.23,21.137,3.0
52.181,20.99,3.0
52.311,20.979,3.0
52.25,21.023,3.0
52.183,20.895,3.0
52.214,20.896,3.0
52.225,21.191,3.0
52.308,20.91,3.0
52.178,21.074,3.0
52.24,20.923,3.0
52.295,21.085,3.0
52.194,21.122,3.0
52.269,20.932,3.0
52.266,21.058,3.0
52.217,21.227,3.0
52.218,20.96,3.0
52.233,21.111,3.0
52.263,21.005,3.0
52.212,20.826,3.0
52.196,21.041,3.0
52.21,20.868,3.0
52.288,21.005,3.0
52.237,21.044,3.0
52.415,21.038,3.0
52.214,21.091,3.0
52.311,20.98,3.0
52.167,21.018,3.0
52.225,21.2,3.0
52.227,21.059,3.0
52.242,21.034,3.0
52.324,20.942,3.0
52.294,21.012,3.0
52.195,20.931,3.0
52.142,21.097,3.0
52.093,21.019,3.0
52.304,20.907,3.0
52.312,20.923,3.0
52.236,21.124,3.0
52.204,21.074,3.0
52.242,21.168,3.0
52.193,21.044,3.0
52.259,21.044,3.0
52.04,20.968,3.0
52.292,21.066,3.0
52.15,21.018,3.0
52.302,20.99,3.0
