         249311383 function calls (247886283 primitive calls) in 146.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2342708    0.191    0.000    0.191    0.000 {built-in method math.radians}
   7921/1    0.010    0.000    0.187    0.187 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1269(render)
   7920/3    0.007    0.000    0.185    0.062 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:176(render)
77135/23932    0.057    0.000    0.180    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:193(find_all)
8036/7947    0.007    0.000    0.175    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:442(blockvisit)
    11857    0.015    0.000    0.173    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/filters.py:1676(do_tojson)
  1451139    0.170    0.000    0.170    0.000 {method '__exit__' of '_thread.lock' objects}
1227779/1227679    0.168    0.000    0.170    0.000 {built-in method __new__ of type object at 0x9584a0}
     3949    0.005    0.000    0.164    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/vector_layers.py:188(__init__)
    11857    0.025    0.000    0.158    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/utils.py:626(htmlsafe_json_dumps)
  1634505    0.148    0.000    0.148    0.000 {method 'lower' of 'str' objects}
  1171354    0.142    0.000    0.142    0.000 {built-in method math.fmod}
  1445162    0.139    0.000    0.139    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.133    0.133 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/features.py:1(<module>)
  1451977    0.131    0.000    0.131    0.000 {method 'end' of 're.Match' objects}
  1246686    0.130    0.000    0.130    0.000 {built-in method builtins.iter}
     3949    0.007    0.000    0.126    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/vector_layers.py:131(__init__)
  1477153    0.122    0.000    0.122    0.000 {built-in method math.isnan}
  1439652    0.122    0.000    0.122    0.000 {method 'weekday' of 'datetime.date' objects}
        1    0.000    0.000    0.118    0.118 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/api.py:1(<module>)
        1    0.000    0.000    0.116    0.116 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/__init__.py:1(<module>)
    11857    0.020    0.000    0.115    0.000 /usr/lib/python3.11/json/__init__.py:183(dumps)
        1    0.000    0.000    0.113    0.113 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/__init__.py:1(<module>)
        1    0.000    0.000    0.112    0.112 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/__init__.py:1(<module>)
     8097    0.026    0.000    0.110    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:1478(visit_Output)
    99292    0.087    0.000    0.108    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:453(write)
        1    0.000    0.000    0.103    0.103 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/arcgis.py:1(<module>)
     7926    0.004    0.000    0.103    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1375(new_context)
        1    0.000    0.000    0.100    0.100 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/base.py:1(<module>)
     7926    0.024    0.000    0.099    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:91(new_context)
  1326059    0.095    0.000    0.095    0.000 {method 'pop' of 'dict' objects}
    15818    0.010    0.000    0.095    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:129(add_child)
   360208    0.076    0.000    0.091    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:145(iter_fields)
    11857    0.020    0.000    0.091    0.000 /usr/lib/python3.11/json/encoder.py:183(encode)
     7993    0.009    0.000    0.087    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:142(find_undeclared)
     7947    0.017    0.000    0.083    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:538(pull_dependencies)
   585678    0.081    0.000    0.081    0.000 {built-in method math.atanh}
      647    0.004    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     7947    0.008    0.000    0.079    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:720(write_commons)
     7947    0.012    0.000    0.078    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1210(from_code)
     7947    0.019    0.000    0.075    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:229(set_environment)
     7947    0.003    0.000    0.074    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:184(find)
   585677    0.074    0.000    0.074    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:407(kilometers)
    25573    0.052    0.000    0.069    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:127(__init__)
        1    0.000    0.000    0.067    0.067 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/adapters.py:1(<module>)
    11854    0.067    0.000    0.067    0.000 /usr/lib/python3.11/json/encoder.py:205(iterencode)
      361    0.052    0.000    0.067    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.065    0.065 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/folium.py:1(<module>)
