         147166893 function calls (146345743 primitive calls) in 87.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.061    0.061 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/groupby/__init__.py:1(<module>)
  750/739    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.060    0.060 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/groupby/generic.py:1(<module>)
      842    0.001    0.000    0.055    0.000 /usr/lib/python3.11/re/__init__.py:272(_compile)
    25596    0.008    0.000    0.054    0.000 {method 'extend' of 'collections.deque' objects}
        1    0.000    0.000    0.054    0.054 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/lib/index_tricks.py:1(<module>)
   722109    0.054    0.000    0.054    0.000 {method 'pop' of 'dict' objects}
      159    0.000    0.000    0.054    0.000 /usr/lib/python3.11/re/__init__.py:225(compile)
        1    0.000    0.000    0.053    0.053 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/requests/__init__.py:1(<module>)
      150    0.001    0.000    0.053    0.000 /usr/lib/python3.11/re/_compiler.py:738(compile)
        1    0.000    0.000    0.052    0.052 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/matrixlib/defmatrix.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/linalg/__init__.py:1(<module>)
        1    0.000    0.000    0.052    0.052 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/core/__init__.py:1(<module>)
